Plate_number	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_group	Ave_abs_blanked	StdDev_abs_blanked	Ave_concentration	StdDev_concentration	Concentration_units
1	t5_1	1	Unknown	Fe2	Fe2	1.09	1	0.05205	0.000636396	75.54903956	0.92371017	uM
1	t5_1	1	Unknown	FeTot	FeTot	1.09	1	0.07285	0.000212132	105.739626	0.30790339	uM
1	t5_10	1	Unknown	Fe2	Fe2	1.09	1	0.03325	0.001767767	48.26139415	2.565861584	uM
1	t5_10	1	Unknown	FeTot	FeTot	1.09	1	0.0735	0.00212132	106.6830818	3.079033901	uM
1	t5_11	1	Unknown	Fe2	Fe2	1.09	1	0.0221	0.000424264	32.07749806	0.61580678	uM
1	t5_11	1	Unknown	FeTot	FeTot	1.09	1	0.0662	0.002969848	96.08734714	4.310647462	uM
1	t5_12	1	Unknown	Fe2	Fe2	1.09	1	0.02665	0.001202082	38.68168884	1.744785877	uM
1	t5_12	1	Unknown	FeTot	FeTot	1.09	1	0.0786	0.001697056	114.0855814	2.463227121	uM
1	t5_13	1	Unknown	Fe2	Fe2	1.09	1	0.0095	0.000424264	13.78896976	0.61580678	uM
1	t5_13	1	Unknown	FeTot	FeTot	1.09	1	0.06905	0.001484924	100.2240381	2.155323731	uM
1	t5_14	1	Unknown	Fe2	Fe2	1.09	1	0.0087	0	12.62779336	0	uM
1	t5_14	1	Unknown	FeTot	FeTot	1.09	1	0.0706	0.000989949	102.4738173	1.436882487	uM
1	t5_15	1	Unknown	Fe2	Fe2	1.09	1	0.0275	0.000848528	39.91543877	1.23161356	uM
1	t5_15	1	Unknown	FeTot	FeTot	1.09	1	0.07555	7.07E-05	109.6585963	0.102634463	uM
1	t5_16	1	Unknown	Fe2	Fe2	1.09	1	0.0323	0	46.88249717	0	uM
1	t5_16	1	Unknown	FeTot	FeTot	1.09	1	0.08725	0.00106066	126.6408012	1.539516951	uM
1	t5_2	1	Unknown	Fe2	Fe2	1.09	1	0.0667	0.001979899	96.81308239	2.873764974	uM
1	t5_2	1	Unknown	FeTot	FeTot	1.09	1	0.0856	0	124.2458749	0	uM
1	t5_3	1	Unknown	Fe2	Fe2	1.09	1	0.031	0.000424264	44.99558552	0.61580678	uM
1	t5_3	1	Unknown	FeTot	FeTot	1.09	1	0.0688	0.000141421	99.86117044	0.205268927	uM
1	t5_4	1	Unknown	Fe2	Fe2	1.09	1	0.0421	0.000565685	61.10690808	0.821075707	uM
1	t5_4	1	Unknown	FeTot	FeTot	1.09	1	0.0825	0.000707107	119.7463163	1.026344634	uM
1	t5_5	1	Unknown	Fe2	Fe2	1.09	1	0.0311	0.001414214	45.14073257	2.052689267	uM
1	t5_5	1	Unknown	FeTot	FeTot	1.09	1	0.0713	0.001272792	103.4898467	1.847420341	uM
1	t5_6	1	Unknown	Fe2	Fe2	1.09	1	0.0321	0.000282843	46.59220307	0.410537853	uM
1	t5_6	1	Unknown	FeTot	FeTot	1.09	1	0.0776	0.002969848	112.6341108	4.310647462	uM
1	t5_7	1	Unknown	Fe2	Fe2	1.09	1	0.0622	0.00212132	90.28146514	3.079033901	uM
1	t5_7	1	Unknown	FeTot	FeTot	1.09	1	0.08425	0.001343503	122.2863897	1.950054804	uM
1	t5_8	1	Unknown	Fe2	Fe2	1.09	1	0.05545	0.000212132	80.48403926	0.30790339	uM
1	t5_8	1	Unknown	FeTot	FeTot	1.09	1	0.0751	0.002545584	109.0054346	3.694840681	uM
1	t5_9	1	Unknown	Fe2	Fe2	1.09	1	0.0401	0.000565685	58.20396708	0.821075707	uM
1	t5_9	1	Unknown	FeTot	FeTot	1.09	1	0.07875	0.00106066	114.3033019	1.539516951	uM
2	t6_1	1	Unknown	Fe2	Fe2	1.09	1	0.0468	0.000353553	67.92881943	0.513172317	uM
2	t6_1	1	Unknown	FeTot	FeTot	1.09	1	0.0673	0.000424264	97.68396469	0.61580678	uM
2	t6_10	1	Unknown	Fe2	Fe2	1.09	1	0.04475	0.002969848	64.9533049	4.310647462	uM
2	t6_10	1	Unknown	FeTot	FeTot	1.09	1	0.07145	0.002757716	103.7075673	4.002744071	uM
2	t6_11	1	Unknown	Fe2	Fe2	1.09	1	0.0187	0.001202082	27.14249836	1.744785877	uM
2	t6_11	1	Unknown	FeTot	FeTot	1.09	1	0.06405	0.000777817	92.96668557	1.128979097	uM
2	t6_12	1	Unknown	Fe2	Fe2	1.09	1	0.02315	0.000707107	33.60154209	1.026344634	uM
2	t6_12	1	Unknown	FeTot	FeTot	1.09	1	0.07705	0.000212132	111.8358021	0.30790339	uM
2	t6_13	1	Unknown	Fe2	Fe2	1.09	1	0.00835	0.001414214	12.11977868	2.052689267	uM
2	t6_13	1	Unknown	FeTot	FeTot	1.09	1	0.0681	0.001414214	98.84514109	2.052689267	uM
2	t6_14	1	Unknown	Fe2	Fe2	1.09	1	0.01015	0.00212132	14.73242558	3.079033901	uM
